id,order_number,customer_id,product_id,quantity,unit_price,order_date,status,region
423,ORD-202400423,49,13,2,6500,2024-03-04,Delivered,Central
424,ORD-202400424,34,14,1,5500,2024-04-24,Delivered,East
425,ORD-202400425,8,2,5,1200,2024-01-16,Delivered,Central
426,ORD-202400426,35,4,5,18000,2024-02-08,Processing,Central
427,ORD-202400427,44,8,1,1800,2024-02-22,Delivered,West
428,ORD-202400428,29,2,5,1200,2024-01-15,Delivered,Central
429,ORD-202400429,37,7,4,800,2024-01-15,Delivered,East
430,ORD-202400430,26,12,1,1500,2024-03-06,Delivered,South
431,ORD-202400431,3,10,1,3500,2024-04-18,Shipped,North
432,ORD-202400432,5,9,1,8500,2024-04-30,Pending,West
433,ORD-202400433,50,3,2,3500,2024-06-13,Cancelled,West
434,ORD-202400434,29,6,4,4500,2024-04-06,Delivered,Central
435,ORD-202400435,8,3,3,3500,2024-02-15,Cancelled,West
436,ORD-202400436,47,9,2,8500,2024-02-27,Delivered,North
437,ORD-202400437,44,5,4,2000,2024-05-19,Delivered,West
438,ORD-202400438,16,14,2,5500,2024-04-27,Shipped,East
439,ORD-202400439,3,4,1,18000,2024-06-18,Delivered,North
440,ORD-202400440,5,4,2,18000,2024-01-26,Delivered,West
441,ORD-202400441,16,10,1,3500,2024-01-12,Delivered,South
442,ORD-202400442,49,9,2,8500,2024-01-15,Processing,East
443,ORD-202400443,21,4,5,18000,2024-05-27,Delivered,East
444,ORD-202400444,10,4,3,18000,2024-06-18,Delivered,West
445,ORD-202400445,4,5,3,2000,2024-05-22,Delivered,South
446,ORD-202400446,36,11,4,600,2024-05-06,Pending,East
447,ORD-202400447,34,11,4,600,2024-03-22,Delivered,West
448,ORD-202400448,25,3,3,3500,2024-02-17,Delivered,West
449,ORD-202400449,20,4,2,18000,2024-02-06,Delivered,North
450,ORD-202400450,27,9,4,8500,2024-05-22,Delivered,West
451,ORD-202400451,14,4,3,18000,2024-03-25,Delivered,West
452,ORD-202400452,6,14,3,5500,2024-05-17,Delivered,South
453,ORD-202400453,25,1,3,75000,2024-06-21,Delivered,North
454,ORD-202400454,13,14,1,5500,2024-05-30,Delivered,Central
455,ORD-202400455,14,4,4,18000,2024-03-26,Shipped,North
456,ORD-202400456,48,4,2,18000,2024-01-31,Delivered,West
457,ORD-202400457,45,15,2,5000,2024-06-03,Delivered,West
458,ORD-202400458,36,15,2,5000,2024-03-23,Delivered,West
459,ORD-202400459,42,8,5,1800,2024-04-01,Shipped,East
460,ORD-202400460,30,9,4,8500,2024-01-26,Delivered,West
461,ORD-202400461,14,13,3,6500,2024-04-04,Shipped,North
462,ORD-202400462,48,10,2,3500,2024-02-07,Pending,Central
463,ORD-202400463,38,15,5,5000,2024-04-16,Shipped,South
464,ORD-202400464,25,6,2,4500,2024-05-25,Delivered,West
465,ORD-202400465,17,9,3,8500,2024-05-05,Cancelled,West
466,ORD-202400466,47,8,2,1800,2024-03-31,Processing,Central
467,ORD-202400467,35,8,2,1800,2024-06-13,Cancelled,Central
468,ORD-202400468,43,1,1,75000,2024-01-13,Delivered,West
469,ORD-202400469,5,3,2,3500,2024-02-08,Pending,Central
470,ORD-202400470,4,8,3,1800,2024-06-07,Delivered,Central
471,ORD-202400471,43,15,4,5000,2024-05-04,Pending,Central
472,ORD-202400472,1,9,4,8500,2024-01-05,Delivered,East
473,ORD-202400473,2,9,3,8500,2024-05-08,Delivered,West
474,ORD-202400474,7,13,2,6500,2024-01-25,Delivered,South
475,ORD-202400475,34,4,5,18000,2024-03-05,Delivered,East
476,ORD-202400476,6,13,4,6500,2024-04-05,Cancelled,West
477,ORD-202400477,45,10,2,3500,2024-02-27,Shipped,North
478,ORD-202400478,6,11,1,600,2024-04-13,Delivered,Central
479,ORD-202400479,41,8,1,1800,2024-01-03,Delivered,North
480,ORD-202400480,42,8,4,1800,2024-03-25,Delivered,North
481,ORD-202400481,3,15,5,5000,2024-02-28,Shipped,Central
482,ORD-202400482,3,8,3,1800,2024-01-20,Delivered,East
483,ORD-202400483,37,15,5,5000,2024-06-17,Pending,East
484,ORD-202400484,38,1,2,75000,2024-02-06,Delivered,West
485,ORD-202400485,20,15,1,5000,2024-02-11,Delivered,Central
486,ORD-202400486,44,14,4,5500,2024-05-18,Shipped,South
487,ORD-202400487,33,13,1,6500,2024-03-29,Pending,West
488,ORD-202400488,22,4,1,18000,2024-06-03,Delivered,Central
489,ORD-202400489,2,7,3,800,2024-06-11,Shipped,West
490,ORD-202400490,23,8,2,1800,2024-05-21,Delivered,West
491,ORD-202400491,43,3,5,3500,2024-04-07,Pending,Central
492,ORD-202400492,46,5,2,2000,2024-01-19,Pending,South
493,ORD-202400493,48,7,2,800,2024-04-09,Shipped,North
494,ORD-202400494,20,2,1,1200,2024-04-23,Delivered,East
495,ORD-202400495,6,2,2,1200,2024-02-17,Delivered,Central
496,ORD-202400496,27,9,5,8500,2024-01-27,Pending,East
497,ORD-202400497,39,9,1,8500,2024-06-02,Delivered,West
498,ORD-202400498,27,1,3,75000,2024-04-09,Delivered,Central
499,ORD-202400499,37,15,2,5000,2024-05-13,Processing,West
500,ORD-202400500,18,3,2,3500,2024-03-18,Shipped,South
